Ticket;Symbol;Type;Open time;Open price;Size;Close time;Close price;Profit/Loss;Balance;Sample type;Close type;MAE ($);MFE ($);Time in trade;Comment
5;GBPJPY_Data_Dukascopy_M1_ESTPlus07;Buy;2009.01.06 11:00:00;137.700;0.17;2009.01.06 15:00:00;136.875;-98.34;9901.66;IST;SL;-97.19;50.07;4h 0m;
15;GBPJPY_Data_Dukascopy_M1_ESTPlus07;Buy;2009.01.14 10:00:00;131.565;0.15;2009.01.14 11:00:00;130.611;-100.18;9801.47;IST;SL;-99.17;53.53;1h 0m;
19;GBPJPY_Data_Dukascopy_M1_ESTPlus07;Buy;2009.01.16 03:00:00;132.990;0.14;2009.01.16 13:00:00;135.554;247.81;10049.28;IST;PT;-23.28;248.76;10h 0m;
30;GBPJPY_Data_Dukascopy_M1_ESTPlus07;Buy;2009.01.26 17:00:00;124.620;0.11;2009.01.26 21:00:00;123.399;-93.82;9955.46;IST;SL;-93.08;36.21;4h 0m;
40;GBPJPY_Data_Dukascopy_M1_ESTPlus07;Buy;2009.01.30 20:00:00;130.430;0.12;2009.02.02 01:00:00;129.276;-95.65;9859.81;IST;SL;-95.97;35.76;2d 5h 0m;
47;GBPJPY_Data_Dukascopy_M1_ESTPlus07;Buy;2009.02.05 14:00:00;131.530;0.13;2009.02.05 15:00:00;130.469;-96.47;9763.34;IST;SL;-95.59;35.14;1h 0m;
61;GBPJPY_Data_Dukascopy_M1_ESTPlus07;Buy;2009.02.18 18:00:00;133.475;0.14;2009.02.19 05:00:00;133.560;11.24;9774.59;IST;Exit After X Bars;-80.04;36.87;11h 0m;
65;GBPJPY_Data_Dukascopy_M1_ESTPlus07;Buy;2009.02.23 10:00:00;136.210;0.15;2009.02.23 12:00:00;138.724;260.31;10034.90;IST;PT;-8.32;261.33;2h 0m;
79;GBPJPY_Data_Dukascopy_M1_ESTPlus07;Buy;2009.03.04 12:00:00;140.110;0.14;2009.03.04 23:00:00;140.340;21.37;10056.27;IST;Exit After X Bars;-48.51;71.31;11h 0m;
90;GBPJPY_Data_Dukascopy_M1_ESTPlus07;Buy;2009.03.12 21:00:00;136.300;0.15;2009.03.13 03:00:00;135.392;-93.99;9962.27;IST;SL;-94.39;26.51;6h 0m;
102;GBPJPY_Data_Dukascopy_M1_ESTPlus07;Buy;2009.03.23 14:00:00;141.065;0.17;2009.03.24 01:00:00;141.405;40.50;10002.78;IST;Exit After X Bars;-86.59;95.43;11h 0m;
